english	dagbani
thirty-one	pihita ni yini
thirty-two	pihita ni aiyi
thirty-three	pihita na ata
thirty-four	pihita ni anahi
thirty-five	pihita ni anu
thirty-six	pihita ni ayɔbu
thirty-seven	pihita ni ayɔpɔin
thirty-eight	pihita ni anii
thirty-nine	pihita ni awɛi
forty	pihinahi
forty-one	pihinahi ni yini
forty-two	pihinahi ni ayi
forty-three	pihinahi ni ata
forty-four	pihinahi ni anahi
forty-five	pihinahi ni anu
forty-six	pihinahi ni ayɔbu
forty-seven	pihinahi ni ayɔpɔin
forty-eight	pihinahi ni anii
forty-nine	pihinahi ni awɛi
fifty	pihinu
fifty-one	pihinu ni yini
fifty-two	pihinu ni ayi
fifty-three	pihinu ni ata
fifty-four	pihinu ni anahi
fifty-five	pihinu ni anu
fifty-six	pihinu ni ayɔbu
fifty-seven	pihinu ni ayɔpɔin
fifty-eight	pihinu ni anii
fifty-nine	pihinu ni awɛi
sixty	pihiyɔbu
sixty-one	pihiyɔbu ni yini
sixty-two	pihiyɔbu ni ayi
sixty-three	pihiyɔbu ni ata
sixty-four	pihiyɔbu ni anahi
sixty-five	pihiyɔbu ni anu
sixty-six	pihiyɔbu ni ayɔbu
sixty-seven	pihiyɔbu ni ayɔpɔin
sixty-eight	pihiyɔbu ni anii
sixty-nine	pihiyɔbu ni awɛi
seventy	pihiyɔpɔin
seventy-one	pihiyɔpɔin ni yini
seventy-two	pihiyɔpɔin ni ayi
seventy-three	pihiyɔpɔin ni ata
seventy-four	pihiyɔpɔin ni anahi
seventy-five	pihiyɔpɔin ni anu
seventy-six	pihiyɔpɔin ni ayɔbu
seventy-seven	pihiyɔpɔin ni ayɔpɔin
seventy-eight	pihiyɔpɔin ni anii
seventy-nine	pihiyɔpɔin ni awɛi
eighty	pihinii
eighty-one	pihinii ni yini
eighty-two	pihinii ni ayi
eighty-three	pihinii ni ata
eighty-four	pihinii ni anahi
eighty-five	pihinii ni anu
eighty-six	pihinii ni ayɔbu
eighty-seven	pihinii ni ayɔpɔin
eighty-eight	pihinii ni anii
eighty-nine	pihinii ni awɛi
ninety	pihiwɛi
ninety-one	pihiwɛi ni yini
ninety-two	pihiwɛi ni ayi
ninety-three	pihiwɛi ni ata
ninety-four	pihiwɛi ni anahi
ninety-five	pihiwɛi ni anu
ninety-six	pihiwɛi ni ayɔbu
ninety-seven	pihiwɛi ni ayɔpɔin
ninety-eight	pihiwɛi ni anii
ninety-nine	pihiwɛi ni awɛi
one hundred	kɔbiga
no matter how big a hut in the farm becomes, it will not be as big as a granary.	Puu suɣuli yi ŋmɛlim ka bɔ, di ku ŋmani kambɔŋa.
lies produce flowers, but it is the truth that gets the fruits.	Ʒiri yirigi pum, ka yɛlimaŋli deei wali.
if heaven's path is grown over with grass, it means that there are no more good people around.	Alizanda soli bili mɔri, wunti'zɔriba n-kani.
what has created the ordinary garden egg has also created the bitter one	Din nam kamli, dina n-nam kamtoo.
an ungrateful man killed a hare and forgot about the elephant hunter.	Gutulu ku sooŋa, n-tam wɔb'kura yɛla.
the fool has no sense to unite a family, but he has sense to destroy a family.	Jɛrigu ka yɛm shɛri dɔɣim, amaa o lee mali yɛm ŋmari dɔɣim
no matter how sharp a split guinea stalk is, it can't be as sharp as a razor.	Kaɣ'shia mali waayo ku ŋmani piliŋ.
the stone anvil doesn't care about the scorpion's spear.	Sataŋ kuɣili baɣa ni nɔŋ'kpani.
there will be a day when the cat will eat groundnuts and have some leftover to sell for the benefit of the mouse.	Dahinshɛli beni ka jɛŋkuno ni ŋubi sima ka guui kɔhi n-ti jɛngbariga.
even if you are an expert in understanding everything, you can't know what is inside a closed hand	Baŋdi waayo ku baŋ nu' kpibili.
the vulture follows the lion because of hope of getting something.	Tahima zuɣu ka juɣu doli gbuɣinli.
a white ant hill that is built on a stone spoils an axe.	Tambiɛɣu din tabili kuɣili ni saɣim lɛri.
the sound of several mortars pounding confused alidu.	Toya kum gari Alidu
if the person running after you does not stop, you also don't stop	Ŋun karit' a yi bɛ zani, a gba bɛ zanda.
even if the toad doesn't know anything at all, at least it knows the grave of the frog	Pololi yi ʒi shɛli kam amaa o mi lɔŋ gballi.
the is the anus of a horse.	Wahu nyirivɔɣu m-bala.
the gourd has a rope tied round it, you have to know how to hang it on your shoulder.	Gaɣili deei mia, baŋmi nyaɣibu.
there is pito in the room, there is also trouble inside	Dam is duu, yɛlli mii beni.
what can a tick remove from the bull's testicle?	Baŋkaŋ yihiri bɔ naɣilaa lan'ni?
a bachelor hunter killed a rabbit, but he won't get its broth.	Dakoli ku sooŋa ku dooi bim.
a woman with slim buttocks has her beads around her waist and nobody can take them from her.	Nyir'kɔɣu lana mali o limli so bɛ deeira.
the frog always found in a mud doesn't worry about the rain	Ko'kura lɔŋ baɣa ni saa.
doing is better than the fast speaking lips	Niŋsim n-gari nangbanpibili.
where there is no spear grass , that is where piles from one's anus come out proudly.	Piriŋkpana ni ka shɛli, ni ka sapibo surigiri bara
the roof of a liar is removed, not set ablaze.	ʒiri lana duu piligirimi, di bɛ nyɔra.
the person with an oblong head is not an unlucky/bad person.	Zuɣu mɔɣulana pala zuɣu biɛɣulana
know-and-be-quiet' is the friend of 'know-and-not-say-anything'	Mi-ka-shini zo nyɛla baŋ-ku-yɛli-shɛli.
may god spare the blessed needle so that beautiful threads can go into it and praise god.	Naawuni chɛl' alibarika shɛriga ka gal suma kpɛ m-paɣi Wuni.
a good person is not known by looks; you recognise him only through his/her deeds.	Naawuni dabili ku baŋ nini naɣila o tuma ni.
the vulture takes a bone from a dog, and later returns it to where the dog lies.	Juɣu kpuɣi baa kɔbili, n-ŋmaligi sɔŋ baa dooshee.
the rain beats the scorpion, but it will not wash away its bitterness.	Saa bu nɔŋa ku suui tom.
the tiny ant says that it will not eat cricket, the cricket too will not trust it.	Salinsaa yɛliya ni o ku ŋubi paaŋa, paaŋa mii ku niŋ o naani.
if your problems are solved, it is because your false accuser/enemy is not there.	A yɛla yi mali, a chomda n-kani.
a donkey does not bray in it's neighbour's territory.	Buŋ bɛ kumdi o kpee tiŋ' ni
if a sarcastic person dies, it is the careless person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a sarcastic person dies, it is the i-don't-care person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a cheeky person dies, it is the careless person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a cheeky person dies, it is the i-don't-care person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a diabolic person dies, it is the careless person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a diabolic person dies, it is the i-don't-care person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if your magical power taboos "who is that?", you don't enter a dark place	a tim yi chihiri "ŋuni n-lee m-bala", a bɛ zaandi zimsim ni
if your magical power taboos "who is that?", you don't enter a dark spot	a tim yi chihiri "ŋuni n-lee m-bala", a bɛ zaandi zimsim ni
if your charm taboos "who is that?", you don't enter a dark place	a tim yi chihiri "ŋuni n-lee m-bala", a bɛ zaandi zimsim ni
if your charm taboos "who is that?", you don't enter a dark spot	a tim yi chihiri "ŋuni n-lee m-bala", a bɛ zaandi zimsim ni
if your talisman taboos "who is that?", you don't enter a dark place	a tim yi chihiri "ŋuni n-lee m-bala", a bɛ zaandi zimsim ni
if your talisman taboos "who is that?", you don't enter a dark spot	a tim yi chihiri "ŋuni n-lee m-bala", a bɛ zaandi zimsim ni
if your magical power taboos "who is that?", you don't enter a dark place	a tim yi chihiri "ŋuni n-lee m-bala", a bɛ kpɛri zimsim ni
if your magical power taboos "who is that?", you don't enter a dark spot	a tim yi chihiri "ŋuni n-lee m-bala", a bɛ kpɛri zimsim ni
if your charm taboos "who is that?", you don't enter a dark place	a tim yi chihiri "ŋuni n-lee m-bala", a bɛ kpɛri zimsim ni
if your charm taboos "who is that?", you don't enter a dark spot	a tim yi chihiri "ŋuni n-lee m-bala", a bɛ kpɛri zimsim ni
if your talisman taboos "who is that?", you don't enter a dark place	a tim yi chihiri "ŋuni n-lee m-bala", a bɛ kpɛri zimsim ni
if your talisman taboos "who is that?", you don't enter a dark spot	a tim yi chihiri "ŋuni n-lee m-bala", a bɛ kpɛri zimsim ni
the skin of the monitor lizard that roams on fallow land will be used to wrap the shaft of arrows	Wua ŋun gɔri kukɔɣu ni gbaŋ ni vili mola.
if an arrow is stuck in the body of an antelope, it is better than being left in the hand of a hunter.	Piɛm yi sa valiga ni, di so ni di be tɔha nuu ni.
a witch's small cooking pot, be careful when putting your hand into it to clear the last bit of soup with your finger for licking.	Pakurugu duɣ'bila, viɛhima ka mira.
the prophet's eye powder is applied to the eyes of those who don't have parents.	Anabi chilitɔŋ, bɛn ka laamba m-banda.
those walking on the right path, and those walking on the wrong path, they all have yaakuba's house as their destination.	Bɛnim' n-doli soli, bɛnim' n-dari mɔɣu, bɛ zaa kunila Yaakuba yili.
they are coming" is better than "he is coming.	Bɛna n-kanilana" sola "ŋuna n-kanilana.
a loyal citizen does not abandon his fatherland.	Somuaa bi zori ka chari o ba tinga.
the one who has been nurtured by god to progress, a human cannot cause to retrogress.	Naawuni ni zoogi so, sal' ningsim ku tooi filimo.
if your enemies are many in your town, you don't climb a tall tree	a di mali o yi zooi tiŋ'ni, a bɛ duri ti wɔɣinli
a single horse race is deceptive	wɔri yino tii bɛ baŋda,
a single horse race is unknown	wɔri yino tii bɛ baŋda,
house	yili
houses	yiya
room	duu
rooms	duri
door	dundoli
doors	dundoya
roof	mopil'li
roofs	mopila
wall	gooni
walls	goma
kitchen	duduhigu
kitchens	duduhusi
bed	garo
beds	gariti
mat	sɔŋ
mats	sɔna
pillow	dufiɛli
pillows	dufiɛya
boxes	adakanima
spoons	diriti
ladle	chɛriga
ladles	chɛriti
bowl	ŋmani
bowls	ŋmana
bowl	kuriga
bowls	kuriganima
knife	sua
knives	suhi
pot	duɣu
pots	duɣuri
fire	buɣim
fires	buɣima
water	kom
waters	koma
salt	yalim
pepper	naanzua
oil	kpam
oils	kpama
onion	alibarisa
onions	alibarisanima
tomato	kamantooŋa
tomatoes	kamantoonsi
okro	maani
okros	mana
fish	zahim
soap	chibo
soaps	chibiti
towel	bodua
towels	boduanima
bucket	bɔɣati
buckets	buɣatinima
comb	zabisahirigu
combs	zabisahirisi
sponge	sɔɣiso
sponges	sɔɣisonima
fowl	noo
cow	nahu
aardvark	tiŋbuŋ
baboon	kparili
bandicoot	dayuɣu
bat	zɔŋa
buffalo	yonahu
bush buck	sankpaluŋ
fox	ŋɔɣu
hyena	kunduŋ
gazelle	mulfu
grass cutter	ŋɔŋli
squirrel	laringa
hartebeest	sibiga
hedgehog	yuɣimpɛni
hippopotamus	ŋamli
ibex	yɔbua
jackal	yɔbaa
red buck	vulugu
mole	nantariga
rhinoceros	kantamparim
zebra	kɔɣu
warthog	dee
tz	sagam
eat tz	dimi sagam
eat all the tz	dimi sagam maa zaa
fufu	sakoro
honey	shiri
eat	dima
drink	nyuma
drink all	nyumi di zaa
drinking soup	piebbu
red (plural)	ziehi
blue (plural)	bluuu’
green (plural)	bankoma
yellow (plural)	dozima
black (plural)	sablar
white (plural)	pielar
tall	waga
fat	bara
beautiful	viela
ugly	biegau
hello	n doo
hello	n kpɛma
please	dimi suɣulo
thank you	m puhiya ka paɣi
you're welcome	naawuni deemi suhugu
father	m’ba
mother	m’ma
brother	tizodoo
sister	tizopaɣa
son	dapala
daughter	bipuhinga
family	daŋa
fine, thank you	m mali alaafei, m paɣiya
my name is _____	n yuli booni _____
excuse me	gaafara
i'm sorry	n tumi taali
goodbye	naawuni ni sɔŋ
goodbye (informal)	bai bai
i can't speak dagbani [well]	n ku tooi yɛli dagbanli [viɛnyɛla]
do you speak english?	n ni tooi yɛli silimiinsilii?
is there someone here who speaks english?	so be kpe ka yari silimiinsilii?
help!	sɔŋmi ya ma!
look out!	lihi ma!
where is the toilet?	ya polo ka baanjira be?
leave me alone	zaŋ ma bahi
don't touch me!	di shihi ma!
i'll call the police	n yɛn bol'la prinsi
police!	polinga!
stop! thief!	zani ma! tayiɣa!
i need your help	m bori la a sɔŋsim
it's an emergency	nimmohi m bala
i'm lost	n tumla n soli
i lost my bag	n labi la m baagi
i lost my wallet	n labi la m poochibila
i'm sick	m bɛri mi
i've been injured	n nyɛla daŋa
can i use your phone?	n ni tooi zaŋ a phone ŋɔ n niŋ m bini ŋɔ?
i will learn dagbani	nni boham dagbani
he/she will learn english	o ni boham silimiinsili
they will go to america	be ni chag amerika
isabella will come tomorrow	isabella san kana
we will come early	ti dag yig’ labbu na
you will come home early (plural)	yini kana yig yomyom
come child!	kamna bia!
come here!	kamna kpe!
look, stop it!	nyema, chela!
farouk, it's ok, stop that!	chela farouk, cheli lala!
stop the noise, leave me!	cheli vuri, cheli ma!
stop talking!	cheli yelgu / yeltoga!
go and be drinking your alcohol!	cham’, nyu ma adam
go and do your work	cham’ tumm’ atuma
sit down child!	ziinima bia
sit down and eat tz (tuon zaafii)	ziinim’ ndi sagam
sit down and stop making noise	zinim’ ka chea viri!
sit down and sing a song	ziinim’ yili yila
grandfather	yɛb’doo
grandmother	yɛb’paɣa
parent	laamba
stepfather	mba
stepmother	mma yintah
cousins	dachiya
inlaws	deenima
ancestor	siɣli lana
descendant	zuliya
heir	zuu
heiress	pakpang
bachelor	dakↄli
spinster	paɤ’ zinli
twin	jabila
orphan	kpibga
ex husband	yidan kuro
ex wife	pa kuro
king of strength/power	yaa naa
husband	yidana
queen	pagnaa
queen’s mother	napaga
earth priest	tindana
