english	dagbani
placenta (??)  KO	bieri
pain KO bieri boribu  ‘revenge’:	bieri
illness, pain.	bierim
sand	bihigu
milk. <‘butter’ [TN]	bihikpaam
female breast KO	bihilibiha
milk KO	bihim
heat	biisim
loss of a child by	bikoba
a dance.	bila
uprising  KO an  ‘uprising’ is a riot :	bilbili
turn over; roll and shift a little KO or biligi	bilgi
noble person, patriot KO	bilichini
childishness,	bilim
uprightness	bilchinsi
essence of meat	bim
piece KO N+A (Adj. is verbal	bimburginli
toilet paper (stick) KO	bindibga
kori	be n
lay or put across gap; cross	baai
bag <English	baaji
quietly	baalim
smell of animals incl. human	baam
type of dance KO	baamaya
battery  KO<English	baatiri
not in the least; none.	babiela
alphabet, letter(s) of alphabet  KO/JC : from  ‘a-b-c’ [TN]	bachi
t acacia arabica tree  (used in tanning hides).	bagalua
ending	bahigu
doom, perishing KO [vide bahi  ]	bahiyoli
a week. <Hausa	bakwoi
to be soft	bala
be (sentence filler) Q/ ‘it’	bala
how much less	balee
an assortment of small units	balgu
become soft; slow down KO	baligi
shrub, the base of which are	balima
slowly, quietly, carefully KO cf. baalim	balimbalim
how much more.   [Paƒ a so kaa ta, o bia yela	balintee
palm wine.	bam
sham excuse.   [ Bama m-bala.  It is a sham	bama
person having least knowledge KO	bambu
name	is a lunar month
v a climbing plant, the leaves of	bandoba
plural form.  who?   [ Banima mbala?  Who are	banima
da bitch, female dog KO	banyaŋ
dog teeth = bite by a dog KO	banyini
knowledge	baŋbu
triumph or victory dance The title of Naa Siƒ ili since the	baŋgumaŋa
c new cocoyam < Hausa?	baŋkani
c Xanthosoma mafaffa < Hausa?	baŋkani
bank (for money) KO<English	baŋki
grass.	baŋlari
v creeping pea plant. KO ‘leaves of bean’ also beŋ- ?	baŋli
r agama lizard [bandoƒ u, male form.]  The	baŋli
