english	dagbani
ninety-seven	pihiwɛi ni ayɔpɔin
ninety-eight	pihiwɛi ni anii
ninety-nine	pihiwɛi ni awɛi
pleasure	nyaɣsim
everyone	sokam
yesterday	sohala
intersection	sochira
crossroads	sochira
traveller	sochanda
today	zuŋɔ
amen	ami
trust	yɛda
voice	yee
bead	yɛɣu
beads	yɛri
evidence	shahira
bastard	sheje
something	sheli
nothing	pasheli
everything	shelikam
somewhere	shelipolo
belt	shelorigu
stingy	shim
transgression	zunubi
worm	zunzuli
necessary	kamaata
yes	een
bathroom	shinshaɣ
sea	teeku
decency	venyela
well	venyeliŋga
shame	vi
shade	mahim
war	tɔbu
betrayal	nyaan yibo
angel	malaika
god	naawuni
water	ko-om
trending	dinchana
persuade	balima
dog	baa
dogs	bahi
child	bia
children	bihi
you	a
goat	bua
goats	buhi
dagbani	dagbanli
come	kamina
banana	kɔdu
king	naa
kingship	nam
woman	paɣa
cloud	sagbani
groundnut	sima
patient	bara
hope	tahama
turkey	tolotolo
desert	tiŋgban’ nɛli
sun	wuntaŋ
give	ti
tree	tia
trees	tihi
anxiety	suhuzohibo
hernia	pɔli
unity	nangbanyini
we	ti
whirlwind	pɔhimʒiɛpiliŋga
patience	suɣulɔ
expectation	tahma
lord	duuma
man	doo
go	chama
heaven	alizanda
land	tingbani
poverty	fara
serious	nimoo
very	pam
kill	ku
buy	kɔhi
tribe	balli
clan	zulya
where	ya
calling	boligu
promise	alikauli
pencil	alkalmi
pen	alkalmi
helicopter	alikopta
ablution	aliwalla
conversation	alizama
paradise	alizanda
friday	alizumba
genie	alizini
treachery	varisa
onion	alibasa
blessing	alibarika
grace	alibarika
usefulness	anfaani
picture	anfoni
trouble	alaka
cheap	alaha
calamity	alaamu
pineapple	alaafee
thursday	alaamiishi
drummer	akarima
watch	agogo
noon	agbaa
pigeon-pea	adua
luggage	adiiku
religion	adiini
balloon	abinfuura
disgust	abba
never	abada
disapproval	abaa
no	aayi
wrong	aayi
block	blooku
school	shikuru
what	bo
razorblade	bleedi
charcoal	sala
human	ninsala
crowd	salo
mash	sam
aluminium	samafuu
gold	salma
debt	samli
stranger	sana
strangers	saamba
apology	sandaani
creditor	sandana
debtor	sandira
scale	saniya
repayment	sanyoo
drought	sanzali
termite	yobli
deceive	yohim
deceiver	yohinda
dupe	yohim fa
vain	yoli
stand	zeya
intelligence	fahim
inheritance	fali
lightweighted	faluŋ
lecture	fasara
unless	fashee
carelessness	fawaɣli
procrastination	fawaɣli
pardon	gaafara
forgiveness	gaafara
knee	duni
world	dunia
doorstep	dundobia
gatekeeper	dundogula
enmity	duŋ
mosquito	duuŋa
mosquitos	duunsi
mercy	faako
extortion	fabu
uninverse	salaa
verly	achiika
tuesday	atalata
monday	atani
good	suŋ
happy	shupiɛli
vanity	yoli
call	boli
run	guui
runing	guubu
away	kpaŋa
friend	zo
friendship	zɔri
dancing	wabu
dance	waa
but	amaa
special	gahindili
thread	gali
foolishness	jirlim
short	jia
fool	jergu
praise	jema
cat	jeŋkuno
spindle	jeni
leopard	jeŋgbuni
quickly	yom
near	yɔma
lion	gbuɣinli
common	gbuɣi
keep	gbubi
accident	sarati
niddle	shariga
veil	sariga
judgement	sariga
prison	sarika
tobacco	sara
