dagbani	english
Guuimina nti nya o’	run and come and see him
Zomi yomyom	run quickly
Guuimi ti boli karimba maa	run and call the teacher
N daa bi tum tumaa maa	I had not done the work.
A daa na bi tum tumaa maa	you had not yet done the work.
O daa na bi tum tumaa maa	he had not yet done the work.
Ti daa na bi tum tumaa maa	we had not yet done the work.
Yi daa na bi tum tumaa maa	You have not yet done the work.
Be daa na bi tum tumaa maa	they had not yet done the work.
Bia timi a ba naa ama jilma.	child, respect your father and mother
naawuni ni bori sheli m-bala	that is what God wants.
yumi a ba naa ama.	love your father and mother.
dama be nyela a laamba.	Because they are your parents.
fara deei zaa.	Poverty is now rampant.
bihi kuhirila fara.	Children are crying out of poverty.
ninkura kuhirila fara.	Elders are crying out of poverty.
ban tumdi kuhirila fara.	Those working are crying.
ban bi tumdi kuhirila fara.	Those who don’t work are even waste off.
ligiri mi zo n-nye fara.	Riches is the friend of poverty.
ligiri yi bi chag fara ku chag.	If money doesn’t go, poverty will surely not go.
din zugu, bagmi ligiri dibu.	Therefore let’s spend money wisely.
Dimi di zaa	Eat it all.
Dimi sagam maa zaa	Eat all the TZ.
N chagya.	I have gone.
A chagya.	You have gone.
O chagya.	she has gone.
O chagya	He has gone.
Di chagya.	it has gone
Yi chagya.	We have gone.
Be chagya	they have gone.
Ti bohimya	we have learned.
Be bohimya.	the have learned.
Isabella di chag Tamale asiba maa.	Isabella went to Tamale in the morning.
Isabella di bi chag Tamale asiba maa.	Isabella didn’t go to Tamale this morning.
O di bohi nyuli.	He ask of my name.
Ti bohammi ka di wum ti.	We studied and became tired.
O chagya.	He has gone.
O chagya zugo	He went today.
Di barigiya	It has lost.
Di barigiya asiba la.	It lost this morning.
Farouk yuuya.	Farouk has kept long.
Be yuuya pam wuntag maa ni.	They kept long in this afternoon.
Paga maa kpeya.	The woman has entered.
N naaiya pumpogo	I have now finished.
O bohiya.	she has asked.
O bohiya.	He has asked.
Farouk di sabiya.	Farouk has written.
N dirila sakoro.	Am eating Fufu.
A dirila sakoro	You are eating Fufu.
O dirila sakoro.	she is eating fufu.
O dirila sakoro.	He is eating fufu.
Ti dirila Banku.	We are eating Banku.
Yi dirila Banku	You are eating Banku
Be dirila sagam.	They are eating TZ.
