english	dagbani	source
You are (plural)	Yi nyela	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
They are	Be nyela	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
My child	M bia	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Your child	A bia	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
His / Her child	O bia	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Our child	Ti bia	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Your child (plural)	Yi bia	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Their child	Be bia	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
I am a Ghanaian	N nyela Ghana nira	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
We are Ghanaians	Ti nyela Ghana niriba	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
You are a Ghanaian	A nyela Ghana nira	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
You (plural) are Ghanaians	Yi nyela Ghana nima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
He / She is a Ghanaian	O nyela Ghana nira	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
They are Ghanaians	Be nyela Ghana nima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
We are Germans	Ti nyela Germani nima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
You (plural) are Nigerians	Yi nyela Nigeria nima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
They are Americans	Be nyela Amerika nima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Excuse me	Gaafara	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Come in	Garima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Come in	Kpemna	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Good morning	Dasiba	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Good afternoon	Antire	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Good evening	Aniwula	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Fine / Well	Naa	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Is [name] around?	Issabella beni?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Yes, I'm around	M beni	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Are you (plural) there?	Yi beni?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Yes, we are there	Ti beni	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
How is the coldness?	Ti maasim / Ni ti maasim?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
It is well	Diso	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Did you sleep well?	A gbihira?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
I slept well	N gbihiya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
How is the heat?	Ni ti waligu?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Did you (plural) sleep well?	Yi gbihira?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Yes, we slept well	Ti gbihira	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Hope you are well?	Yi mal' alaafee / Gom beni?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Yes, we are well	Ti mal' alaafee	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
How is your health?	A ningbuna be wula?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
How is your tiredness?	Jelinsi be wula?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
How is your husband?	A yidana be wula?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
How is your house?	A yig be wula?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
How is life?	Kawula nyaa behagu?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
How is it?	Di be wula?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
Everything is fine	Shee alaafee	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
What is your name?	A yuli?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
My name is [name]	N yuli Isabella	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
How do they call you?	Wula ka be boon da?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
They call me [name]	Be booni ma la Isabella	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
How does he/she call you?	Wula ka o boon da?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
He/she calls me [name]	O boono ma la Isabella	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
How does he call himself?	Wula ka o booni omanya?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
She calls herself [name]	O booni la omang Isabella	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
# === SOURCE: https://lagim.blogs.brynmawr.edu/lesson-two/ ===
Please, where do you come from?	Dim suglo, tinn kani ka ayina?	https://lagim.blogs.brynmawr.edu/lesson-two/
I am from America	N yila Amerika na	https://lagim.blogs.brynmawr.edu/lesson-two/
And you, where do you come from?	Ka nyini, tinn kani ka ayina?	https://lagim.blogs.brynmawr.edu/lesson-two/
I am from Togo	N yila Togo na	https://lagim.blogs.brynmawr.edu/lesson-two/
Where are you from?	Ya ka ayina?	https://lagim.blogs.brynmawr.edu/lesson-two/
Where am I from?	Ya ka n yina?	https://lagim.blogs.brynmawr.edu/lesson-two/
You are from America	A yila Amerika na	https://lagim.blogs.brynmawr.edu/lesson-two/
Where is he/she from?	Ya ka o yina?	https://lagim.blogs.brynmawr.edu/lesson-two/
He/she is from America	O yila Amerika na	https://lagim.blogs.brynmawr.edu/lesson-two/
Where are we from?	Ya ka ti yina?	https://lagim.blogs.brynmawr.edu/lesson-two/
You are from America and Austria	Yi yila Amerika mini Austria na	https://lagim.blogs.brynmawr.edu/lesson-two/
Is [name] from Nigeria?	Isabella yila Nigeria na?	https://lagim.blogs.brynmawr.edu/lesson-two/
No, [name] is not from Nigeria	Aayi, Isabella be yi Nigeria na	https://lagim.blogs.brynmawr.edu/lesson-two/
She is from America	O yila Amerika na	https://lagim.blogs.brynmawr.edu/lesson-two/
Is [name] from Accra?	Farouk yila Accra na?	https://lagim.blogs.brynmawr.edu/lesson-two/
No, he is not from Accra	Aayi, o bi yi Accra na	https://lagim.blogs.brynmawr.edu/lesson-two/
He is from Tamale	O yila Tamale na	https://lagim.blogs.brynmawr.edu/lesson-two/
Is your friend from Ghana?	A zoo maa yila Ghana na?	https://lagim.blogs.brynmawr.edu/lesson-two/
No, my friend is not from Ghana	Aayi, n zoo maa bi yi Ghana na	https://lagim.blogs.brynmawr.edu/lesson-two/
He/she is from Togo	O yila Togo na	https://lagim.blogs.brynmawr.edu/lesson-two/
I don't understand it	M bi bag li	https://lagim.blogs.brynmawr.edu/lesson-two/
I don't know	N zii	https://lagim.blogs.brynmawr.edu/lesson-two/
Speak/say slowly	Yelimi biela biela	https://lagim.blogs.brynmawr.edu/lesson-two/
Say one at a time	Yelimi yim yim	https://lagim.blogs.brynmawr.edu/lesson-two/
I can't speak Dagbani	N zii Dagbani	https://lagim.blogs.brynmawr.edu/lesson-two/
I don't know his/her name	N zii o yuli	https://lagim.blogs.brynmawr.edu/lesson-two/
He/she doesn't know my name	O zii nyuli	https://lagim.blogs.brynmawr.edu/lesson-two/
Good night	Naawuni ni ti biegau	https://lagim.blogs.brynmawr.edu/lesson-two/
May God give you good sleep	Naawuni ni ti go' sug	https://lagim.blogs.brynmawr.edu/lesson-two/
Safe journey	Puhimi gorimnima	https://lagim.blogs.brynmawr.edu/lesson-two/
Safe journey (God's blessing)	Naawuni ni sheegi ni alaafee	https://lagim.blogs.brynmawr.edu/lesson-two/
I will go home	N ni kuli	https://lagim.blogs.brynmawr.edu/lesson-two/
I will ask permission to go home	N ni suhi soli kuli	https://lagim.blogs.brynmawr.edu/lesson-two/
Let's eat	Ti dima	https://lagim.blogs.brynmawr.edu/lesson-two/
Let's go to my house	Ti chemi nyiga	https://lagim.blogs.brynmawr.edu/lesson-two/
Come to my house	Kam' na nyiga	https://lagim.blogs.brynmawr.edu/lesson-two/
Try and come to my house	Kpagmi amaga n ka nyiga	https://lagim.blogs.brynmawr.edu/lesson-two/
I have heard	N wumya	https://lagim.blogs.brynmawr.edu/lesson-two/
You have heard (singular)	A wumya	https://lagim.blogs.brynmawr.edu/lesson-two/
He/she has heard	O wumya	https://lagim.blogs.brynmawr.edu/lesson-two/
We have heard	Ti wumya	https://lagim.blogs.brynmawr.edu/lesson-two/
You have heard (plural)	Yi wumya	https://lagim.blogs.brynmawr.edu/lesson-two/
They have heard	Be wumya	https://lagim.blogs.brynmawr.edu/lesson-two/
I don't understand	N bi wumda	https://lagim.blogs.brynmawr.edu/lesson-two/
Don't you hear? (singular)	A bi wumda?	https://lagim.blogs.brynmawr.edu/lesson-two/
He/she doesn't hear	O bi wumda	https://lagim.blogs.brynmawr.edu/lesson-two/
We don't hear	Ti bi wumda	https://lagim.blogs.brynmawr.edu/lesson-two/
Haven't you heard? (plural)	Yi be wumda?	https://lagim.blogs.brynmawr.edu/lesson-two/
They don't hear	Be bi wumda	https://lagim.blogs.brynmawr.edu/lesson-two/
No	Aayi	https://lagim.blogs.brynmawr.edu/lesson-two/
# === SOURCE: https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/ ===
To have something	Mali	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
To know	Mi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Don't know	Bi mi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Don't know (alternate)	Zii	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Drink	Nyuri	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Eat	Diri	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Eating (present continuous)	Dirila	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Learning (present continuous)	Bohandila	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Learn	Bohandi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Like	Bori	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Don't like	Je	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Have (children)	Milila	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Has no child	Ka bia	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Know how to; drive	Loori	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Sister	Tuzopaga	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Friend	Nzo	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
On	Zugu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
On top of	Zugsaa	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Under	Gbinni / logni	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
In front of	Tooni	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Side / with	Sani / Yagli / polo	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Behind	Nyaaga	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
With	Ni	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Inside	Puuni	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
By / near	Shee / miri	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Near / beside	Shee / lugli	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Between	Sunsuuni	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Money	Ligiri	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Bread	Paanuu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Name	Yuli	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Names	Yuya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Houses	Yinsi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
House	Yiga	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Work	Tuma	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Book	Buku	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Table	Teebuli	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Chair	Kug'	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Pencil	Pensili	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Sheet of paper	Takara gbag	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Box	Adaka	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Banana	Koru	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Orange	Leemu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Sandals	Namda	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Cloth	Chinchini	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Shirt	Daliya / liiga	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Room	Duu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Food	Bindirigu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Car	Loori / Hibu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Pot	Dugu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Kitchen	Jaara	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Fowls	Noohi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Fowl	Noo	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Fanta (drink)	Fanta	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Star beer	Sitaa	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Coke	Kook	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Club (beverage)	Club	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Guinness	Ginis	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
TZ (Tuon Zafi)	Sagam	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Honey	Shir	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Rice	Sinkaafa	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
Fufu	Sakoro	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
I	M	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
You	A	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
He / She	O	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
We	Ti	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
You (plural)	Yi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
They	Be	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
I have a lot of money	M mali ligiri pam	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
We have a lot of bread	Ti mali paanuu pam	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
There is a book on the table	Buku be teebuli maa zugu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-three/
# === SOURCE: https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/ ===
To go to	Chag	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Come	Kana	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Likes / wants	Bori	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Drive	Duhi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
What?	Bo?	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
A day	Dabsili	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Days	Dabsa	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Week	Bakoi / Dakulo	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Weeks	Dakuyi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Month	Goli / chirili	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Months	Gaya / Chira	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Year	Yuni	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Years	Yuma	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
1 day	Dahin' yini	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
10 days	Biegwu pia	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Monday	Atani dali	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Yesterday	Sohala	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Today	Zuno	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Tomorrow	Biegni	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Day after tomorrow	Dali	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Afternoon	Wuntag' ni	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Evening	Zaawuni	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Night	Yug	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Last week	Bakoi din garila	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Immediate past week	Bakoi din yoli garila	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
One	Yini	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Two	Ayi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Three	Ata	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Four	Anahi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Five	Anu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Six	Ayobu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Seven	Ayopoi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Eight	Anii	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Nine	Awei	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Ten	Pia	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Come (command)	Kamna	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Stop (command)	Chela	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Go (command)	Chama	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Sit down (command)	Ziinima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Call me (command)	Bolimma	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Look for (command)	Bomm'	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Throw away (command)	Zag labi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Be quiet (command)	Foma	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Look at (command)	Lihima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Listen (command)	Wumma	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Get away / go away (command)	Zoma	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
Stop (command, alternate)	Zanima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-four/
# === SOURCE: https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/ ===
I have gone	N chagya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
You have gone	A chagya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
He/she has gone	O chagya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
It has gone	Di chagya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
We have gone	Ti chagya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
You have gone (plural)	Yi chagya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
They have gone	Be chagya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
We have learned	Ti bohimya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
They have learned	Be bohimya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
[Name] went to Tamale in the morning	Isabella di chag Tamale asiba maa	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
He asked of my name	O di bohi nyuli	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
We studied and became tired	Ti bohammi ka di wum ti	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
He went today	O chagya zugo	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
It has lost	Di barigiya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
[Name] has been gone a long time	Farouk yuuya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
The woman has entered	Paga maa kpeya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
I have finished	N naaiya pumpogo	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
I am eating Fufu	N dirila sakoro	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
She is eating honey	O dirila shiri	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
[Name] is drinking orange	Alice nyurila leemu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
She is eating/drinking soup	O pirbrila zeri	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
Red	Zeea / ziehi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
Blue	Bluu / bluuu'	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
Green	Bankom / bankoma	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
Yellow	Dozim / dozima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
Black	Sabinli / sablar	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
White	Pielli / pielar	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
Big (singular/plural)	Titali / titaga	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
Small (singular/plural)	Bila / bihi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
Small (alternate)	Pora	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
Tall (singular/plural)	Waga / wagala	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
Short (singular/plural)	Jia / jihi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
