source,type,Question in English,Question in Dagbani,Question (Dagbani),Answer (Dagbani),Question (English),Answer (English),Personal pronouns (Dagbani),Personal pronoun (English),Negation (Dagbani),Negation (English),Dagbani,English,line_index,content,Singular,Plural,Translation,Day,Dagbaŋ Month,English Month,Dagbanli,Alternative/Plural
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,29.0,Me: Ka ya ka a chana?,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,30.0,You: N chɛnla tuma ni.,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,31.0,Me: Tuma ni? A pa tumdila tuma?,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,32.0,"You: iin, n pa tumdila tuma.",,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,33.0,English,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,34.0,Me: Good morning Kataali.,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,35.0,"You: Greetings, Timtooni.",,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,36.0,Me: Are you going to school?,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,37.0,"You: No, I am not going to school.",,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,38.0,Me: Then where are you going?,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,39.0,You: I am going to work,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,40.0,Me: Work place? You now work?,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,41.0,"You: Yes, I now work",,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,42.0,Present Continuous - Negative,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,43.0,"To give a negative response, add bi before the continuous verb. Example: N bi guura = I am not running",,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,44.0,Personal pronouns (Dagbani) Personal pronoun (English) Negation (Dagbani) Negation (English),,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,45.0,n I N bi I do not/ I am not,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,46.0,a You A bi You do not/ You are not,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,47.0,o He/She/It O bi He/She/It does not / He/She/It is not,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,48.0,bi They Bi bi They do not/ They are not,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,49.0,ti We Ti Bi We do not/ We are not,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,50.0,Examples:,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,51.0,Dagbani English,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,52.0,N bi zaya. N ʒimi. I am not standing. I am sitting.,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,53.0,A bi dira. A nyurimi. You are not eating. You are drinking.,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,54.0,O bi kuhira. O larimi. He/She/It is not crying. He/She/It is laughing.,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,55.0,Bɛ bi chana. Bɛ guurimi. They are not walking. They are running.,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,56.0,Ti bi karinda. Ti warimi. We are not learning. We are dancing.,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,57.0,Glossary,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,58.0,"Special characters: ɛ, ɣ, ŋ, ɔ, and ʒ",,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,59.0,Guurimi = running,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,60.0,Niŋda = doing,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,61.0,Bindirigu = food,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,62.0,Bia = child,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,63.0,Dirila = eating,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,64.0,Bɔhim = learn,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,65.0,Bɔhindila = learning,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,66.0,paɣa = woman,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,67.0,Tuma = work,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,68.0,Tumdila = working,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,69.0,Chanila = going,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,70.0,Shikuru = school,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,71.0,iin = yes,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,72.0,Aayi = No,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,73.0,Lesson by: Mandeeya,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,table_row,,,,,,,,,,,ʒee,Red,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,table_row,,,,,,,,,,,Vakahili/Baŋkɔm,Green,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,table_row,,,,,,,,,,,Dozim,Yellow,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,table_row,,,,,,,,,,,Sabinli,Black,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,table_row,,,,,,,,,,,Piɛlli,White,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,table_row,,,,,,,,,,,Tankpaɣu,Brown,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,table_row,,,,,,,,,,,Nuɣiso,Blue,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,table_row,,,,,,,,,,,Tampilim,Grey,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,0.0,Learn Dagbanli (Dagbanli Bↄhimbu),,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,1.0,Colours in Dagbanli,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,2.0,Mark Complete,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,3.0,English Dagbani,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,4.0,Red ʒee,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,5.0,Green Vakahili/Baŋkɔm,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,6.0,Yellow Dozim,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,7.0,Black Sabinli,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,8.0,White Piɛlli,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,9.0,Brown Tankpaɣu,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,10.0,Blue Nuɣiso,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,11.0,Grey Tampilim,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,12.0,Lesson by: Feruza Yehuza,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=02-colours-in-dagbani,raw_text_line,,,,,,,,,,,,,13.0,Video by: Mohammed-Hanif Abdulai,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,shikuru,shikuriti,school,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,karinzɔŋ,karinzɔndi,school,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,karinduu,karinduri,classroom,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,karimba,karimbanima,teacher,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,tuuta,tuutanima,flag,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,tia,tihi,tree,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,shikurubila,shikurubihi,student/pupil,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,karimbia,karimbihi,student/pupil,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,sambani,sambana,compound,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,kuɣa,kuɣisi,chair,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,teebuli,teebuya/teebulinima,table,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,buku,bukunima,book,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,kundi,kundinima,textbook,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,kɔba,kɔbanima,cupboard,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,chɔɣki,chɔɣkinima,chalk,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,dukpinsabinli,dukpinsabila,blackboard,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,table_row,,,,,,,,,,,,,,,agogo,agogonima,clock,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,0.0,Learn Dagbanli (Dagbanli Bↄhimbu),,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,1.0,Everyday Nouns (Part 2) – Nouns At School,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,2.0,Mark Complete,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,3.0,Common School Terms,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,4.0,Singular Plural Translation,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,5.0,shikuru shikuriti school,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,6.0,karinzɔŋ karinzɔndi school,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,7.0,karinduu karinduri classroom,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,8.0,karimba karimbanima teacher,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,9.0,tuuta tuutanima flag,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,10.0,tia tihi tree,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,11.0,shikurubila shikurubihi student/pupil,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,12.0,karimbia karimbihi student/pupil,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,13.0,sambani sambana compound,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,14.0,Items In The Classroom,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,15.0,Singular Plural Translation,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,16.0,kuɣa kuɣisi chair,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,17.0,teebuli teebuya/teebulinima table,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=03-everyday-nouns-part-2-nouns-at-school,raw_text_line,,,,,,,,,,,,,18.0,buku bukunima book,,,,,,,,
